gene,I24C,I24N,I27C,I27N,I29C,I29N
ENSG00000108669,1073,2506,1028,1634,1459,948
ENSG00000108671,2881,1654,1567,1634,1791,1189
ENSG00000108679,9210,20019,9375,10509,7579,10181
ENSG00000108684,5,23,31,11,7,7
ENSG00000108688,16,7,12,16,2,4
ENSG00000108691,530,372,369,524,367,372
ENSG00000108700,39,156,51,304,9,26
ENSG00000108702,0,0,1,2,0,0
ENSG00000108733,172,118,77,102,122,106
ENSG00000108759,0,0,0,0,0,0
ENSG00000108771,146,1066,289,240,211,92
ENSG00000108773,1890,360,705,332,895,116
ENSG00000108774,4667,5155,2781,3604,2336,3932
ENSG00000108784,726,594,492,397,727,415
ENSG00000108785,0,0,0,0,0,0
ENSG00000108786,12,25,9,11,6,40
ENSG00000108788,1368,3040,1513,2598,1181,3996
ENSG00000108797,113,45,88,59,123,6
ENSG00000108798,51,252,111,220,243,163
ENSG00000108799,649,647,328,340,700,356
ENSG00000108813,9,0,8,2,6,4
ENSG00000108819,1328,632,755,554,1031,210
ENSG00000108821,38482,839,9033,1227,7207,59
ENSG00000108823,6,11,28,34,35,23
ENSG00000108825,48,17,52,28,41,26
ENSG00000108826,848,1113,826,852,631,2345
ENSG00000108828,1163,633,800,798,1012,568
ENSG00000108829,4075,3933,2864,3561,3522,1759
ENSG00000108830,18,3,5,9,6,6
ENSG00000108839,0,0,0,1,0,2
ENSG00000108840,931,645,649,382,561,666
ENSG00000108846,1670,6331,3419,4858,2678,1984
ENSG00000108848,4169,3708,2652,2049,3460,2338
ENSG00000108849,0,17,0,2,8,55
ENSG00000108852,33,16,16,21,11,10
ENSG00000108854,607,536,349,297,563,236
ENSG00000108861,1543,1208,1596,1152,1185,1687
ENSG00000108878,0,0,0,0,0,0
ENSG00000108883,2084,1046,1108,875,1588,948
ENSG00000108924,19,33,63,77,41,11
ENSG00000108932,47,62,56,27,45,11
ENSG00000108946,4530,3617,2614,3400,3602,1373
ENSG00000108947,59,23,18,22,19,24
ENSG00000108950,104,35,23,25,43,11
ENSG00000108953,10101,10161,8584,8906,8799,9960
ENSG00000108958,12,13,7,5,10,35
ENSG00000108960,698,393,368,337,396,297
ENSG00000108961,310,246,337,156,275,348
ENSG00000108963,335,196,259,226,614,175
ENSG00000108984,842,4264,2282,2130,2519,3897
ENSG00000109016,486,754,602,562,322,1055
ENSG00000109046,2401,2321,956,1309,2969,581
ENSG00000109047,4,1,5,2,0,2
ENSG00000109061,1,1,0,1,0,0
ENSG00000109062,1464,5744,3094,4271,1013,2423
ENSG00000109063,26,36,21,21,27,46
ENSG00000109065,697,274,403,263,451,326
ENSG00000109066,326,255,184,248,235,76
ENSG00000109072,3,0,2,0,14,3
ENSG00000109079,952,619,753,610,764,495
ENSG00000109083,503,432,503,306,430,1006
ENSG00000109084,1471,390,852,365,953,299
ENSG00000109089,214,34,93,57,298,26
ENSG00000109099,1024,811,1108,1030,768,637
ENSG00000109101,2,23,6,11,12,6
ENSG00000109103,462,388,273,227,346,707
ENSG00000109107,506,1098,257,369,440,2516
ENSG00000109111,1999,1577,1054,1146,1808,411
ENSG00000109113,223,110,187,115,154,107
ENSG00000109118,526,778,430,395,1059,197
ENSG00000109132,0,2,1,2,1,0
ENSG00000109133,1750,1761,1317,1520,1829,1818
ENSG00000109158,4,3,0,0,58,3
ENSG00000109163,0,0,0,0,0,0
ENSG00000109171,877,2164,912,1804,1111,700
ENSG00000109180,2152,3130,1935,2098,2301,3600
ENSG00000109181,10,21,11,20,3,52
ENSG00000109182,2,918,108,867,33,569
ENSG00000109184,710,793,479,494,731,490
ENSG00000109189,278,339,277,212,451,259
ENSG00000109193,2,7,8,4,29,0
ENSG00000109205,10,1,29,0,30,10
ENSG00000109208,0,0,0,0,0,0
ENSG00000109220,213,282,187,169,198,338
ENSG00000109255,8,44,30,5,111,25
ENSG00000109265,122,1836,339,1155,435,339
ENSG00000109270,860,1492,1109,1096,988,3104
ENSG00000109272,2,0,6,2,4,6
ENSG00000109320,1157,1460,957,1182,1796,655
ENSG00000109321,5342,981,989,1122,361,249
ENSG00000109323,628,732,512,477,934,585
ENSG00000109332,5148,9823,5186,7763,5646,9817
ENSG00000109339,52,136,77,100,108,106
ENSG00000109381,714,687,475,507,1010,651
ENSG00000109390,475,1157,969,1019,758,2423
ENSG00000109424,1,0,0,0,0,0
ENSG00000109436,553,430,292,447,377,176
ENSG00000109445,637,605,539,526,771,724
ENSG00000109452,859,1067,645,744,513,350
ENSG00000109458,798,2395,550,1361,1210,941
ENSG00000109466,286,352,275,299,578,288
ENSG00000109471,1,2,0,2,3,8
ENSG00000109472,1226,515,459,691,2090,649
ENSG00000109475,8222,8589,12774,6915,7354,24686
ENSG00000109501,324,139,810,215,873,102
ENSG00000109511,0,8,2,5,38,10
ENSG00000109519,963,714,744,773,841,1170
ENSG00000109534,524,306,387,305,534,228
ENSG00000109536,542,619,672,504,461,871
ENSG00000109572,2729,7033,2341,4065,4618,4520
ENSG00000109576,84,62,87,32,182,28
ENSG00000109586,1977,7039,3128,4654,4754,4790
ENSG00000109606,4633,4331,2803,3029,5236,2187
ENSG00000109610,752,523,1496,285,563,161
ENSG00000109618,414,939,526,517,799,602
ENSG00000109625,135,13,82,18,88,3
ENSG00000109654,7723,4168,5242,3239,5561,2563
ENSG00000109667,91,46,87,96,51,34
ENSG00000109670,514,562,458,391,807,143
ENSG00000109674,157,93,59,31,109,20
ENSG00000109680,106,59,43,51,96,86
ENSG00000109684,2,41,5,14,22,23
ENSG00000109685,2230,1671,1016,1045,2197,394
ENSG00000109686,2475,4807,2718,3443,3246,3353
ENSG00000109689,482,639,501,449,1336,327
ENSG00000109705,21,5,12,1,5,3
ENSG00000109736,827,461,652,410,1149,342
ENSG00000109738,32,2,9,6,26,3
ENSG00000109743,118,149,65,57,88,298
ENSG00000109756,1316,1561,925,2112,1239,591
ENSG00000109758,2,0,0,0,0,0
ENSG00000109762,805,305,384,297,424,273
ENSG00000109771,7,12,22,7,21,13
ENSG00000109775,570,455,334,492,447,674
ENSG00000109787,2494,5704,3723,4342,3750,2565
ENSG00000109790,503,284,377,179,529,117
ENSG00000109794,99,131,86,102,113,91
ENSG00000109805,1068,478,314,183,811,92
ENSG00000109814,859,4598,3925,6885,1750,1287
ENSG00000109819,79,1741,477,1050,301,867
ENSG00000109832,4,0,0,0,1,0
ENSG00000109846,149,145,249,128,93,124
ENSG00000109851,0,0,2,1,0,0
ENSG00000109854,2845,3106,2045,2558,1684,5808
ENSG00000109861,2285,4283,3340,3698,4402,3340
ENSG00000109881,601,259,234,213,324,161
ENSG00000109906,6,40,10,31,4,6
ENSG00000109911,422,527,454,390,474,588
ENSG00000109917,1385,560,680,493,866,768
ENSG00000109919,3281,2482,2199,2686,1618,4433
ENSG00000109920,1539,1073,634,638,1364,458
ENSG00000109927,18,5,2,1,18,2
ENSG00000109929,1255,1347,802,1326,974,1272
ENSG00000109943,2,17,17,10,19,9
ENSG00000109944,38,33,18,32,40,24
ENSG00000109956,6,7,9,0,8,1
ENSG00000109971,36253,28149,22724,34439,22824,34457
ENSG00000109991,0,0,0,1,9,0
ENSG00000110002,215,2332,1144,2057,1213,2455
ENSG00000110011,341,597,350,482,482,821
ENSG00000110013,1758,10280,4252,6424,2860,13774
ENSG00000110025,538,688,417,523,355,544
ENSG00000110031,217,924,281,375,479,585
ENSG00000110042,1310,1852,1212,1293,982,939
ENSG00000110046,532,705,712,564,402,229
ENSG00000110047,1190,1909,789,1422,745,577
ENSG00000110048,1895,1834,1512,1365,1341,764
ENSG00000110057,552,1007,963,797,982,319
ENSG00000110060,290,152,161,238,290,335
ENSG00000110063,221,189,129,115,570,259
ENSG00000110066,1446,1922,1006,1564,1146,946
ENSG00000110074,575,415,421,436,776,441
ENSG00000110075,3165,3119,1785,2539,2000,1398
ENSG00000110076,21,47,149,48,47,64
ENSG00000110077,389,1983,664,1132,780,2317
ENSG00000110079,157,438,179,453,176,619
ENSG00000110080,232,4598,481,1563,2586,5675
ENSG00000110090,2650,5587,3816,5085,1522,2243
ENSG00000110092,3352,1000,2460,1312,1774,290
ENSG00000110104,973,162,339,223,569,104
ENSG00000110107,3045,1188,1664,1210,2503,978
ENSG00000110108,1676,600,969,487,1136,516
ENSG00000110148,1,0,0,2,0,0
ENSG00000110169,3,37,39,12,31,5
ENSG00000110171,184,590,437,489,493,203
ENSG00000110172,1622,761,435,543,851,542
ENSG00000110195,5,9,50,2,30,10
ENSG00000110200,563,617,592,381,327,770
ENSG00000110203,5,2,2,1,1,0
ENSG00000110218,495,236,180,251,379,203
ENSG00000110237,384,93,220,79,481,48
ENSG00000110243,0,0,0,0,0,0
ENSG00000110244,0,0,0,0,0,0
ENSG00000110245,0,0,0,0,1,3
ENSG00000110274,500,318,221,148,456,56
ENSG00000110315,1453,1121,802,951,1588,1724
ENSG00000110318,115,142,169,61,156,36
ENSG00000110321,22827,25117,14472,18278,18781,24653
ENSG00000110324,171,507,365,600,705,270
ENSG00000110328,141,35,44,52,129,32
ENSG00000110330,1476,2285,1511,1829,1429,2671
ENSG00000110344,2244,2696,1353,1738,2086,1668
ENSG00000110367,3455,3183,2229,2767,3715,1086
ENSG00000110375,0,0,0,0,0,0
ENSG00000110395,811,426,394,303,835,110
ENSG00000110400,2882,646,1258,581,2668,211
ENSG00000110422,1702,1734,1130,1398,1754,738
ENSG00000110427,32,58,21,16,9,2
ENSG00000110429,1114,1295,706,970,946,1311
ENSG00000110435,887,909,640,804,741,1055
ENSG00000110436,4,59,0,3,43,2
ENSG00000110442,705,585,402,435,596,1231
ENSG00000110446,235,410,327,214,403,148
ENSG00000110448,43,66,95,83,336,35
ENSG00000110455,132,87,79,92,212,72
ENSG00000110484,0,0,0,0,0,0
ENSG00000110492,723,3414,2871,1069,1615,2647
ENSG00000110497,728,913,603,675,413,353
ENSG00000110514,1132,1418,766,777,986,471
ENSG00000110536,765,447,466,405,396,875
ENSG00000110583,374,543,191,223,333,202
ENSG00000110619,1186,1309,877,859,1205,1273
ENSG00000110628,321,1218,1153,1139,604,1321
ENSG00000110651,6156,2023,2924,1699,3157,1009
ENSG00000110660,908,1248,618,834,562,658
ENSG00000110665,8,24,7,8,34,5
ENSG00000110675,0,0,0,0,0,0
ENSG00000110680,9,0,4,0,1,0
ENSG00000110693,243,115,211,78,253,37
ENSG00000110696,4066,2161,1742,1823,2699,3167
ENSG00000110697,1135,1340,1260,1709,857,544
ENSG00000110700,10805,8526,10541,7215,8156,21722
ENSG00000110711,855,708,748,527,453,1072
ENSG00000110713,2564,1603,1441,1768,2265,1032
ENSG00000110717,848,758,1121,722,741,956
ENSG00000110719,727,1204,937,617,1556,448
ENSG00000110721,457,1138,423,567,638,372
ENSG00000110723,170,1415,351,500,972,350
ENSG00000110756,537,429,306,345,490,168
ENSG00000110768,1213,826,585,674,777,903
ENSG00000110777,43,558,212,380,1177,111
ENSG00000110786,0,0,1,2,5,0
ENSG00000110799,878,353,499,439,1283,98
ENSG00000110801,520,702,740,632,654,1261
ENSG00000110811,286,48,149,38,294,26
ENSG00000110841,814,499,415,345,1393,108
ENSG00000110844,206,57,239,52,325,41
ENSG00000110848,298,306,165,328,449,294
ENSG00000110851,903,1148,1131,912,934,800
ENSG00000110852,273,297,187,204,505,343
ENSG00000110871,599,695,687,550,516,1241
ENSG00000110876,170,362,274,265,625,253
ENSG00000110880,3149,1932,3517,2705,2116,1029
ENSG00000110881,181,9,101,17,85,5
ENSG00000110887,0,107,18,49,7,196
ENSG00000110888,231,322,257,222,342,154
ENSG00000110900,120,209,91,131,227,47
ENSG00000110906,2271,1692,1108,1494,1543,886
ENSG00000110911,1489,862,991,625,1952,982
ENSG00000110917,8124,7624,7054,5902,12214,3230
ENSG00000110921,294,277,373,256,493,165
ENSG00000110925,566,474,367,346,473,316
ENSG00000110931,822,1180,875,724,1199,589
ENSG00000110934,174,460,192,331,370,374
ENSG00000110944,38,7,152,4,148,8
ENSG00000110955,9225,26917,18599,22748,12899,36313
ENSG00000110958,8777,6766,7260,4850,7739,4544
ENSG00000110975,0,4,6,24,5,16
ENSG00000110987,368,256,181,127,305,92
ENSG00000111011,1865,2383,1661,1838,2085,1620
ENSG00000111012,44,19,63,25,58,14
ENSG00000111046,0,0,0,0,0,0
ENSG00000111049,0,0,0,0,0,0
ENSG00000111052,108,49,71,58,31,23
ENSG00000111057,18839,23323,48720,19438,19270,27569
ENSG00000111058,58,36,23,21,134,48
ENSG00000111077,373,394,385,396,651,84
ENSG00000111087,49,46,53,37,66,12
ENSG00000111110,1036,142,749,114,645,77
ENSG00000111142,2495,2212,1614,1490,1721,2011
ENSG00000111144,1581,1549,2195,1410,1597,1793
ENSG00000111145,740,361,595,329,713,122
ENSG00000111181,8,96,24,40,22,29
ENSG00000111186,33,87,236,96,163,82
ENSG00000111196,583,227,333,190,374,294
ENSG00000111199,23,7,12,10,45,5
ENSG00000111203,329,611,358,227,547,424
ENSG00000111206,1075,352,506,185,971,40
ENSG00000111215,6,12,20,7,25,10
ENSG00000111218,0,1,3,0,0,0
ENSG00000111224,247,207,223,108,242,132
ENSG00000111229,6245,9052,7096,5617,5604,13930
ENSG00000111231,518,200,335,180,333,264
ENSG00000111237,1668,1792,1830,1385,1742,2706
ENSG00000111241,0,0,0,0,0,0
ENSG00000111245,1,3,1,0,0,4
ENSG00000111247,604,240,254,150,493,123
ENSG00000111249,0,2,0,1,2,0
ENSG00000111252,343,759,356,781,806,226
ENSG00000111254,34,40,14,11,32,9
ENSG00000111261,1494,1827,1362,1200,1237,1268
ENSG00000111262,29,0,1,1,0,0
ENSG00000111266,2592,1571,2422,1644,1083,1050
ENSG00000111269,1311,1591,1335,1408,1407,1747
ENSG00000111271,375,553,398,465,630,165
ENSG00000111275,3259,7114,7858,6805,4143,4016
ENSG00000111276,2597,1185,1723,913,1849,931
ENSG00000111291,0,6,7,34,22,41
ENSG00000111300,1171,541,710,360,1155,252
ENSG00000111305,0,6,1,0,0,9
ENSG00000111319,481,11669,3256,4232,8363,3298
ENSG00000111321,1766,1538,1551,1632,1961,563
ENSG00000111325,214,271,303,149,217,234
ENSG00000111328,1057,794,1101,834,1513,767
ENSG00000111331,1994,15605,2196,2881,1980,463
ENSG00000111335,421,11058,983,991,929,268
ENSG00000111339,13,10,0,1,23,7
ENSG00000111341,2259,1863,1173,1267,443,577
ENSG00000111344,9,164,353,91,440,65
ENSG00000111348,1007,3870,1131,1471,2832,2113
ENSG00000111358,745,455,531,442,770,350
ENSG00000111361,860,852,869,685,1001,831
ENSG00000111364,406,254,448,165,739,143
ENSG00000111371,5586,6695,6932,7139,5324,3159
ENSG00000111404,4,35,13,47,3,11
ENSG00000111405,0,4,0,0,4,0
ENSG00000111412,852,1422,1193,1318,1084,2275
ENSG00000111424,1009,6117,2684,3708,1202,1598
ENSG00000111432,287,3,8,10,6,1
ENSG00000111445,712,368,345,259,659,311
ENSG00000111450,378,106,292,65,253,29
ENSG00000111452,21,28,98,19,73,5
ENSG00000111481,3784,3327,3158,2743,3927,4629
ENSG00000111490,188,106,159,149,162,85
ENSG00000111530,3169,2519,2047,2453,3392,1380
ENSG00000111536,2,8,12,1,26,3
ENSG00000111537,3,2,3,1,31,5
ENSG00000111540,2721,5505,3675,4401,3384,3279
ENSG00000111554,333,207,156,107,308,157
ENSG00000111581,1427,588,799,421,1366,402
ENSG00000111596,1839,2206,1807,1501,1955,1657
ENSG00000111602,924,443,461,324,974,137
ENSG00000111605,2148,1509,1336,1068,2184,985
ENSG00000111615,1514,1241,666,918,1283,1072
ENSG00000111639,1796,1428,1695,1108,1196,2773
ENSG00000111640,45774,56682,54805,41557,49002,108545
ENSG00000111641,737,281,659,292,735,175
ENSG00000111642,3928,2695,5448,2023,3684,1166
ENSG00000111644,22,51,24,59,106,42
ENSG00000111647,405,500,326,513,243,333
ENSG00000111652,675,669,624,514,1027,567
ENSG00000111653,323,557,359,299,453,1191
ENSG00000111664,28,9,21,5,38,11
ENSG00000111665,674,239,231,103,393,83
ENSG00000111666,1340,2072,2366,1844,1669,3429
ENSG00000111667,1276,866,1118,1156,1466,419
ENSG00000111669,11640,14065,11972,11197,10557,28735
ENSG00000111670,953,2314,1083,1486,1486,1191
ENSG00000111671,230,201,219,161,205,267
ENSG00000111674,358,104,388,122,280,62
ENSG00000111676,1801,1769,1677,1689,1963,228
ENSG00000111678,578,1456,1651,1630,810,3988
ENSG00000111679,644,1133,909,761,1053,681
ENSG00000111684,747,1824,1173,1487,1128,1036
ENSG00000111696,181,221,143,93,469,77
ENSG00000111700,3,15,46,3,18,0
ENSG00000111701,118,29,177,187,107,92
ENSG00000111704,0,0,1,0,0,0
ENSG00000111707,1346,1489,1321,1144,1717,753
ENSG00000111711,1118,749,809,563,1266,760
ENSG00000111713,0,0,0,0,0,0
ENSG00000111716,8262,3977,1471,2980,2108,6427
ENSG00000111725,918,1490,1535,1267,1343,915
ENSG00000111726,1472,3114,2026,3138,1703,3100
ENSG00000111727,266,438,224,389,330,306
ENSG00000111728,35,35,39,39,63,21
ENSG00000111729,107,123,95,38,94,152
ENSG00000111731,1417,1950,2230,1896,2315,1339
ENSG00000111732,1,120,2,3,7,0
ENSG00000111737,1018,1075,1019,1329,1092,476
ENSG00000111752,410,234,213,161,460,68
ENSG00000111775,3946,8564,7375,7311,3755,21678
ENSG00000111780,0,0,4,0,8,0
ENSG00000111783,0,0,1,2,1,1
ENSG00000111785,381,420,371,275,537,340
ENSG00000111786,2194,1788,2193,1344,2385,1456
ENSG00000111788,61,35,23,18,133,15
ENSG00000111790,859,1047,874,834,910,1181
ENSG00000111796,68,523,193,198,275,729
ENSG00000111799,10652,169,4544,283,1846,54
ENSG00000111801,671,793,385,351,1250,549
ENSG00000111802,3509,12955,3462,7311,2294,26657
ENSG00000111816,916,1612,906,1173,1637,626
ENSG00000111817,494,311,288,262,405,164
ENSG00000111832,1485,1119,1031,935,639,2069
ENSG00000111834,3,3,5,10,13,1
ENSG00000111837,1,4,0,0,40,1
ENSG00000111843,2865,2070,1852,1829,2151,5122
ENSG00000111845,997,310,349,352,713,385
ENSG00000111846,16,389,297,567,89,139
ENSG00000111850,210,177,142,160,136,310
ENSG00000111859,912,3358,1271,1917,2136,1674
ENSG00000111860,59,218,79,121,147,81
ENSG00000111863,27,4314,1748,3050,1105,2201
ENSG00000111875,895,583,315,321,645,1077
ENSG00000111877,447,390,142,247,399,143
ENSG00000111879,20,14,32,7,8,15
ENSG00000111880,774,552,417,296,425,213
ENSG00000111885,1232,3016,2461,3638,2685,1110
ENSG00000111886,2,3,1,3,19,0
ENSG00000111897,5399,5730,3888,4640,3340,3186
ENSG00000111906,1080,710,755,674,601,1332
ENSG00000111907,527,112,283,188,185,184
ENSG00000111911,1529,992,898,827,1175,660
ENSG00000111912,3288,2012,2465,1925,4747,452
ENSG00000111913,131,404,79,132,204,32
ENSG00000111961,373,272,201,271,594,105
ENSG00000111962,44,43,22,63,36,44
ENSG00000111981,18,5,3,0,5,0
ENSG00000112029,514,188,155,120,327,90
ENSG00000112031,1001,1022,655,764,525,855
ENSG00000112033,1180,2641,1035,1720,953,1271
ENSG00000112038,0,0,0,0,0,0
ENSG00000112039,218,60,80,86,195,57
ENSG00000112041,0,0,1,0,0,0
ENSG00000112053,1,4,13,13,5,5
ENSG00000112062,2554,1658,1060,1124,1524,1293
ENSG00000112077,0,2,1,0,0,1
ENSG00000112078,2446,868,925,799,1489,630
ENSG00000112079,2408,2786,2337,2256,1744,1430
ENSG00000112081,8735,5147,4608,5092,6429,6192
ENSG00000112096,13810,5412,4589,4397,13222,3191
ENSG00000112110,1765,1189,929,1029,1232,2045
ENSG00000112115,3,1,8,0,55,4
ENSG00000112116,0,0,0,1,9,0
ENSG00000112118,3812,1348,1121,828,2508,487
ENSG00000112130,730,311,254,206,373,392
ENSG00000112137,136,78,29,42,102,81
ENSG00000112139,118,44,19,13,14,3
ENSG00000112144,1102,1089,708,794,1589,614
ENSG00000112146,835,818,547,743,1044,886
ENSG00000112149,343,301,315,164,393,85
ENSG00000112159,1468,696,895,534,1252,386
ENSG00000112164,0,0,0,0,0,0
ENSG00000112167,598,327,278,230,364,343
ENSG00000112175,3,838,195,434,212,413
ENSG00000112182,63,266,11,32,35,6
ENSG00000112183,90,240,18,23,16,139
ENSG00000112186,149,84,62,39,49,52
ENSG00000112195,97,23,11,9,12,11
ENSG00000112200,1680,632,505,556,1283,455
ENSG00000112208,477,126,159,82,178,122
ENSG00000112210,713,210,339,203,523,224
ENSG00000112212,4,2,2,2,10,1
ENSG00000112214,28,26,13,19,27,10
ENSG00000112218,62,68,16,12,142,44
ENSG00000112232,0,15,6,12,3,0
ENSG00000112234,902,570,380,389,783,535
ENSG00000112237,3382,1368,1387,1176,1668,1593
ENSG00000112238,3,0,1,1,1,0
ENSG00000112242,993,359,429,302,625,102
ENSG00000112245,3601,5161,3534,5395,1845,2443
ENSG00000112246,0,0,0,1,0,0
ENSG00000112249,2523,880,967,777,2199,552
ENSG00000112273,0,0,0,0,0,0
ENSG00000112276,23,19,27,22,48,17
ENSG00000112280,9,35,95,21,67,135
ENSG00000112282,1439,1261,586,675,1400,734
ENSG00000112290,205,34,64,16,99,13
ENSG00000112293,16,12,7,9,38,11
ENSG00000112294,840,524,671,451,804,239
ENSG00000112297,1368,5128,3018,2704,2298,1184
ENSG00000112299,42,293,151,35,1526,604
ENSG00000112303,216,461,54,86,211,44
ENSG00000112304,1915,1388,840,1132,838,2857
ENSG00000112305,1491,2034,1342,1719,973,1226
ENSG00000112306,24314,15686,21389,13979,14848,36666
ENSG00000112308,3679,3399,1950,1805,4315,1677
ENSG00000112309,3,0,0,0,0,0
ENSG00000112312,1176,706,417,496,619,1189
ENSG00000112319,7,6,2,10,2,0
ENSG00000112320,32,41,46,23,111,4
ENSG00000112333,0,0,0,0,0,0
ENSG00000112335,2740,2646,2013,2232,1898,2790
ENSG00000112337,0,0,0,0,0,0
ENSG00000112339,1826,914,705,925,993,1045
ENSG00000112343,847,2251,629,803,1359,762
ENSG00000112357,515,219,199,206,238,251
ENSG00000112365,543,239,208,229,503,112
ENSG00000112367,589,565,400,388,471,462
ENSG00000112378,30981,6411,9963,4328,6821,5789
ENSG00000112379,1633,887,770,564,2799,236
ENSG00000112394,230,23,87,55,108,35
ENSG00000112406,1163,1362,1195,1016,1096,569
ENSG00000112414,408,486,607,703,530,244
ENSG00000112419,1188,1142,739,606,726,246
ENSG00000112425,107,123,93,100,148,46
ENSG00000112462,0,0,0,0,0,0
ENSG00000112473,3047,4152,2451,2659,3505,1985
ENSG00000112486,65,119,74,53,227,26
ENSG00000112494,72,6,35,2,19,14
ENSG00000112499,1,0,0,0,0,0
ENSG00000112511,544,357,464,362,572,312
ENSG00000112514,1912,1114,1375,949,1322,1924
ENSG00000112530,4,6,7,8,0,16
ENSG00000112531,644,721,369,565,1073,198
ENSG00000112539,0,1,0,0,0,0
ENSG00000112541,73,19,65,101,40,3
ENSG00000112559,431,4,113,8,167,22
ENSG00000112561,338,354,445,238,344,281
ENSG00000112562,2132,264,426,175,261,135
ENSG00000112576,830,1259,773,1086,910,719
ENSG00000112578,676,98,238,84,339,66
ENSG00000112584,1006,1165,718,873,1091,778
ENSG00000112592,399,274,201,187,312,246
ENSG00000112599,6,7,7,3,13,3
ENSG00000112619,8,2,5,8,6,1
ENSG00000112624,755,825,387,564,795,206
ENSG00000112640,1386,1112,961,932,884,529
ENSG00000112651,873,486,637,504,536,589
ENSG00000112655,2369,133,356,127,734,105
ENSG00000112658,1384,620,809,729,1141,247
ENSG00000112659,283,395,369,205,551,126
ENSG00000112667,1140,629,1113,730,727,1115
ENSG00000112679,594,492,525,358,1133,498
ENSG00000112685,1322,654,520,562,1017,538
ENSG00000112695,3882,5053,3443,3662,2056,12911
ENSG00000112697,4822,4737,3039,3126,3990,2180
ENSG00000112699,1781,1301,1804,1352,5793,680
ENSG00000112701,2381,1329,1321,1182,2010,599
ENSG00000112706,0,0,0,0,0,0
ENSG00000112715,6285,1444,2037,1357,4565,638
ENSG00000112739,3374,2319,1571,1743,3685,1024
ENSG00000112742,1309,321,288,165,676,130
ENSG00000112759,2849,338,545,180,806,212
ENSG00000112761,137,0,1,0,312,2
ENSG00000112763,944,860,529,662,743,485
ENSG00000112769,2600,842,1057,872,2070,399
ENSG00000112773,431,6088,1095,1991,1040,871
ENSG00000112782,1795,9111,2567,6351,907,1846
ENSG00000112787,1171,634,1008,500,868,75
ENSG00000112796,276,131,116,89,138,162
ENSG00000112799,41,185,36,93,85,185
ENSG00000112812,359,559,397,529,383,521
ENSG00000112818,4564,22074,10392,9995,1887,16392
ENSG00000112837,29,22,24,34,2,4
ENSG00000112851,2004,5686,2657,4624,1840,1444
ENSG00000112852,42,13,9,33,12,3
ENSG00000112855,781,1222,678,793,741,1314
ENSG00000112874,646,1209,302,872,579,857
ENSG00000112877,281,45,106,25,375,9
ENSG00000112893,1898,3948,1901,2860,2285,2104
ENSG00000112902,2613,950,878,1519,1278,355
ENSG00000112936,40,321,159,494,201,180
ENSG00000112941,1112,284,308,332,1240,135
ENSG00000112964,57,547,52,124,32,58
ENSG00000112972,4721,3754,2930,5398,6488,2190
ENSG00000112977,3089,2654,2389,1869,5299,1258
ENSG00000112981,16,10,14,11,16,22
ENSG00000112983,1033,977,567,500,1282,504
ENSG00000112984,779,260,252,127,569,43
ENSG00000112992,2395,3023,1316,2041,3345,2489
ENSG00000112996,1603,690,624,620,1475,499
ENSG00000113013,6138,5943,6267,7267,5354,5442
ENSG00000113048,948,1000,923,791,1062,879
ENSG00000113068,1109,944,957,856,578,1530
ENSG00000113070,574,427,1087,2174,891,193
ENSG00000113073,3,3,3,0,6,1
ENSG00000113083,562,157,235,200,239,95
ENSG00000113088,34,145,28,49,57,42
ENSG00000113100,0,0,1,0,0,0
ENSG00000113108,176,215,126,131,268,155
ENSG00000113119,174,101,125,114,199,88
ENSG00000113140,32145,2272,8739,2686,10125,1102
ENSG00000113141,2318,3101,2261,2303,1972,2828
ENSG00000113161,2467,5149,2950,5109,2532,2359
ENSG00000113163,787,1422,710,859,1039,469
ENSG00000113194,1276,1449,908,1019,1229,832
ENSG00000113196,2,0,13,0,0,0
ENSG00000113205,12,14,17,7,9,8
ENSG00000113209,15,10,6,3,10,12
ENSG00000113211,5,1,0,2,2,0
ENSG00000113212,21,16,8,6,8,5
ENSG00000113231,19,49,35,28,44,52
ENSG00000113240,441,598,396,295,533,464
ENSG00000113248,100,15,14,11,31,8
ENSG00000113249,67,195,7,31,29,46
ENSG00000113262,0,0,0,0,0,0
ENSG00000113263,65,153,84,133,261,60
ENSG00000113269,953,1153,956,1097,1157,2014
ENSG00000113272,507,384,357,274,266,620
ENSG00000113273,239,228,218,166,497,153
ENSG00000113282,1653,3780,1827,2786,3385,2442
ENSG00000113296,28,19,130,36,10,24
ENSG00000113300,886,1096,719,765,839,445
ENSG00000113302,0,4,2,3,2,0
ENSG00000113303,5,3287,1375,2660,241,2732
ENSG00000113312,1244,1360,1014,942,869,1977
ENSG00000113318,377,424,225,290,414,194
ENSG00000113319,118,43,77,94,154,36
ENSG00000113327,0,0,0,2,0,0
ENSG00000113328,1593,3456,2206,2069,2291,8503
ENSG00000113356,129,45,47,60,64,12
ENSG00000113360,1725,993,1124,623,1789,654
ENSG00000113361,94,16,110,51,135,16
ENSG00000113368,2200,1166,955,886,1946,256
ENSG00000113369,1536,1968,2025,1368,1803,1749
ENSG00000113384,3491,2791,1902,2541,5100,1914
ENSG00000113387,6340,3783,3725,2964,8294,8141
ENSG00000113389,68,18,56,11,13,14
ENSG00000113391,365,445,353,366,421,359
ENSG00000113396,0,31,2,11,5,32
ENSG00000113407,5031,2320,2213,2516,4863,2752
